phase,print_id,feature_id,axis,nominal_mm,method,repetition,measured_mm,status,zero_before_mm,zero_after_mm,notes
verification,XY-S-FIRST-verification,x_inner10,x,10,inner_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_inner10,x,10,inner_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_wall_straight7_5,x,7.5,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_wall_straight7_5,x,7.5,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_wall_straight7_5,x,7.5,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_wall_wide17_5,x,17.5,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_wall_wide17_5,x,17.5,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_wall_wide17_5,x,17.5,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_wall_middle7_5,x,7.5,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_wall_middle7_5,x,7.5,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_wall_middle7_5,x,7.5,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_overall145,y,145,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_overall145,y,145,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_overall145,y,145,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_short30,y,30,depth_rod,1,,,,,
verification,XY-S-FIRST-verification,y_short30,y,30,depth_rod,2,,,,,
verification,XY-S-FIRST-verification,y_short30,y,30,depth_rod,3,,,,,
verification,XY-S-FIRST-verification,y_long100,y,100,depth_rod,1,,,,,
verification,XY-S-FIRST-verification,y_long100,y,100,depth_rod,2,,,,,
verification,XY-S-FIRST-verification,y_long100,y,100,depth_rod,3,,,,,
verification,XY-S-FIRST-verification,y_cross15,y,15,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_cross15,y,15,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_cross15,y,15,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_width15,y,15,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_width15,y,15,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_width15,y,15,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_width25,y,25,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_width25,y,25,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_width25,y,25,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_width35,y,35,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_width35,y,35,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_width35,y,35,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_span85,y,85,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_span85,y,85,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_span85,y,85,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_root30,y,30,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_root30,y,30,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_root30,y,30,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_step_middle30,y,30,depth_rod,1,,,,,
verification,XY-S-FIRST-verification,y_step_middle30,y,30,depth_rod,2,,,,,
verification,XY-S-FIRST-verification,y_step_middle30,y,30,depth_rod,3,,,,,
verification,XY-S-FIRST-verification,y_step_tip30,y,30,depth_rod,1,,,,,
verification,XY-S-FIRST-verification,y_step_tip30,y,30,depth_rod,2,,,,,
verification,XY-S-FIRST-verification,y_step_tip30,y,30,depth_rod,3,,,,,
verification,XY-S-FIRST-verification,y_inner45,y,45,inner_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_inner45,y,45,inner_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_inner45,y,45,inner_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_inner10,y,10,inner_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_inner10,y,10,inner_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_inner10,y,10,inner_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_wall_straight7_5,y,7.5,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_wall_straight7_5,y,7.5,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_wall_straight7_5,y,7.5,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_wall_wide17_5,y,17.5,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_wall_wide17_5,y,17.5,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_wall_wide17_5,y,17.5,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,y_wall_middle7_5,y,7.5,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,y_wall_middle7_5,y,7.5,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,y_wall_middle7_5,y,7.5,outer_jaws,3,,,,,
